SH0,RH0,SH1,RH1,SH2,RH2,SH3,RH3,SH4,RH4,OUTPUT
1.000000,1.000000,0.600000,0.600000,0.428571,0.428571,0.600000,0.600000,0.000000,0.000000,1.000000
1.000000,1.000000,0.600000,0.600000,0.428571,0.428571,0.600000,0.600000,0.000000,0.000000,1.000000
1.000000,1.000000,0.600000,0.600000,0.428571,0.428571,0.600000,0.600000,0.000000,0.000000,1.000000
1.000000,1.000000,0.600000,0.600000,0.428571,0.428571,0.600000,0.600000,0.000000,0.333333,1.000000
1.000000,1.000000,0.600000,0.600000,0.428571,0.428571,0.600000,0.600000,0.000000,0.000000,1.000000
1.000000,1.000000,0.600000,0.600000,0.428571,0.428571,0.600000,0.600000,0.000000,0.000000,1.000000
1.000000,1.000000,0.600000,0.600000,0.428571,0.714286,0.600000,0.600000,0.000000,0.000000,1.000000
1.000000,1.000000,0.600000,0.600000,0.428571,0.714286,0.600000,1.000000,0.000000,0.000000,1.000000
1.000000,1.000000,0.600000,0.600000,0.714286,0.714286,1.000000,1.000000,0.000000,0.000000,1.000000
1.000000,1.000000,0.600000,0.600000,0.714286,0.714286,1.000000,1.000000,0.000000,0.000000,1.000000
1.000000,1.000000,0.600000,0.600000,0.714286,0.714286,1.000000,1.000000,0.000000,0.000000,1.000000
1.000000,1.000000,0.600000,0.600000,0.714286,0.714286,1.000000,1.000000,0.000000,0.000000,1.000000
1.000000,1.000000,0.600000,0.600000,0.714286,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
1.000000,1.000000,0.600000,0.600000,0.714286,0.714286,1.000000,1.000000,0.000000,0.000000,1.000000
1.000000,1.000000,0.600000,0.600000,0.714286,0.714286,1.000000,1.000000,0.000000,0.000000,1.000000
1.000000,1.000000,0.600000,0.600000,0.714286,0.714286,1.000000,1.000000,0.000000,0.000000,1.000000
1.000000,1.000000,0.600000,0.600000,0.714286,0.714286,1.000000,1.000000,0.000000,0.000000,1.000000
1.000000,1.000000,0.600000,0.600000,0.714286,0.714286,1.000000,1.000000,0.000000,0.000000,1.000000
1.000000,1.000000,0.600000,0.600000,0.714286,0.714286,1.000000,1.000000,0.000000,0.000000,1.000000
1.000000,1.000000,0.600000,0.600000,0.714286,0.714286,1.000000,1.000000,0.000000,0.666667,1.000000
1.000000,1.000000,0.600000,0.600000,0.714286,0.714286,1.000000,1.000000,0.000000,0.000000,1.000000
1.000000,1.000000,0.600000,0.600000,0.714286,0.714286,1.000000,1.000000,0.000000,1.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.200000,0.000000,0.142857,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.400000,0.000000,0.142857,0.000000,0.200000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.400000,0.000000,0.142857,0.000000,0.400000,0.000000,0.000000,1.000000
0.000000,0.000000,0.400000,0.400000,0.142857,0.142857,0.400000,0.400000,0.000000,0.000000,1.000000
0.000000,0.000000,0.400000,0.400000,0.142857,0.428571,0.400000,0.400000,0.000000,0.000000,1.000000
0.000000,0.000000,0.400000,0.400000,0.428571,0.428571,0.400000,0.400000,0.000000,0.000000,1.000000
0.000000,0.000000,0.400000,0.400000,0.428571,0.571429,0.400000,0.600000,0.000000,0.000000,0.000000
0.000000,0.000000,0.400000,0.400000,0.428571,0.714286,0.400000,0.600000,0.000000,0.333333,0.000000
0.000000,0.000000,0.400000,0.400000,0.428571,0.714286,0.400000,0.600000,0.000000,0.666667,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.400000,0.000000,0.333333,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.333333,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.285714,0.000000,0.200000,0.000000,0.333333,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.200000,0.000000,0.285714,0.000000,0.200000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.200000,0.000000,0.428571,0.000000,0.200000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.200000,0.000000,0.428571,0.000000,0.400000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.200000,0.000000,0.142857,0.000000,0.400000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.333333,0.000000,0.400000,0.000000,0.142857,0.000000,0.000000,0.000000,0.000000,1.000000
0.333333,0.333333,0.400000,0.200000,0.142857,0.142857,0.000000,0.200000,0.000000,0.000000,1.000000
0.333333,0.333333,0.400000,0.200000,0.142857,0.142857,0.000000,0.600000,0.000000,0.000000,1.000000
0.333333,0.333333,0.400000,0.400000,0.142857,0.142857,0.000000,0.800000,0.000000,0.000000,1.000000
0.333333,0.333333,0.400000,0.600000,0.142857,0.142857,0.000000,1.000000,0.000000,0.000000,0.000000
0.333333,0.333333,0.400000,0.800000,0.142857,0.142857,0.000000,1.000000,0.000000,0.000000,0.000000
0.333333,0.333333,0.400000,0.400000,0.142857,0.142857,0.000000,0.000000,0.000000,0.000000,1.000000
0.333333,0.333333,0.400000,0.400000,0.142857,0.428571,0.000000,0.000000,0.000000,0.000000,1.000000
0.333333,0.333333,0.400000,0.600000,0.142857,0.571429,0.000000,0.000000,0.000000,0.000000,1.000000
0.333333,0.333333,0.600000,0.600000,0.571429,0.571429,0.000000,0.000000,0.000000,0.000000,1.000000
0.333333,0.666667,0.600000,0.800000,0.571429,0.571429,0.000000,0.000000,0.000000,0.000000,1.000000
0.666667,0.666667,0.800000,0.800000,0.571429,0.571429,0.000000,0.000000,0.000000,0.000000,1.000000
0.666667,1.000000,0.800000,0.800000,0.571429,0.285714,0.000000,0.000000,0.000000,0.000000,0.000000
0.666667,0.666667,0.800000,0.800000,0.571429,0.571429,0.000000,0.000000,0.000000,0.000000,1.000000
0.666667,0.666667,0.800000,0.800000,0.571429,0.571429,0.000000,0.000000,0.000000,0.000000,1.000000
0.666667,0.666667,0.800000,1.000000,0.571429,0.571429,0.000000,0.000000,0.000000,0.000000,1.000000
0.666667,0.666667,1.000000,1.000000,0.571429,0.571429,0.000000,0.000000,0.000000,0.000000,1.000000
0.666667,0.666667,1.000000,1.000000,0.571429,0.571429,0.000000,0.000000,0.000000,0.000000,1.000000
0.666667,0.666667,1.000000,1.000000,0.571429,0.428571,0.000000,0.000000,0.000000,0.333333,1.000000
0.666667,0.666667,1.000000,1.000000,0.571429,0.714286,0.000000,0.000000,0.000000,0.333333,1.000000
0.666667,0.666667,1.000000,1.000000,0.714286,0.571429,0.000000,0.000000,0.333333,0.333333,1.000000
0.666667,0.666667,1.000000,1.000000,0.714286,0.714286,0.000000,0.000000,0.333333,0.333333,1.000000
0.666667,0.666667,1.000000,1.000000,0.714286,0.714286,0.000000,0.000000,0.333333,0.666667,1.000000
0.666667,0.666667,1.000000,1.000000,0.714286,0.714286,0.000000,0.000000,0.666667,0.666667,1.000000
0.666667,0.666667,1.000000,1.000000,0.714286,0.857143,0.000000,0.000000,0.666667,0.666667,1.000000
0.666667,0.666667,1.000000,1.000000,0.714286,1.000000,0.000000,0.000000,0.666667,0.666667,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.200000,0.000000,0.142857,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.400000,0.000000,0.285714,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.400000,0.400000,0.285714,0.285714,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.333333,0.400000,0.600000,0.285714,0.285714,0.000000,0.000000,0.000000,0.000000,1.000000
0.333333,0.333333,0.600000,0.600000,0.285714,0.285714,0.000000,0.000000,0.000000,0.000000,1.000000
0.333333,0.333333,0.600000,0.800000,0.285714,0.428571,0.000000,0.000000,0.000000,0.000000,1.000000
0.333333,0.333333,0.800000,0.800000,0.428571,0.428571,0.000000,0.000000,0.000000,0.000000,1.000000
0.333333,0.333333,0.800000,0.800000,0.428571,0.428571,0.000000,0.400000,0.000000,0.000000,1.000000
0.333333,0.333333,0.800000,1.000000,0.428571,0.571429,0.000000,0.400000,0.000000,0.000000,0.000000
0.333333,0.333333,1.000000,1.000000,0.571429,0.571429,0.400000,0.400000,0.000000,0.333333,1.000000
0.333333,0.666667,1.000000,1.000000,0.571429,0.285714,0.400000,0.400000,0.000000,0.000000,1.000000
0.333333,1.000000,1.000000,1.000000,0.571429,0.285714,0.400000,0.400000,0.000000,0.000000,1.000000
0.333333,0.333333,1.000000,1.000000,0.571429,0.571429,0.400000,0.400000,0.000000,0.000000,1.000000
0.333333,0.333333,1.000000,1.000000,0.571429,0.571429,0.400000,0.400000,0.000000,0.000000,1.000000
0.333333,0.333333,1.000000,1.000000,0.571429,0.571429,0.400000,0.400000,0.000000,0.666667,0.000000
0.333333,0.333333,1.000000,1.000000,0.571429,0.571429,0.400000,0.800000,0.000000,0.666667,0.000000
0.333333,0.333333,1.000000,1.000000,0.571429,0.571429,0.400000,0.800000,0.000000,1.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000
0.333333,0.333333,0.200000,0.200000,0.142857,0.142857,0.600000,0.600000,0.000000,0.000000,1.000000
0.333333,0.333333,0.200000,0.200000,0.142857,0.428571,0.600000,0.600000,0.000000,0.000000,1.000000
0.333333,0.333333,0.200000,0.200000,0.428571,0.428571,0.600000,0.600000,0.000000,0.000000,1.000000
0.333333,0.666667,0.200000,0.400000,0.428571,0.428571,0.600000,0.600000,0.000000,0.000000,0.000000
0.666667,0.666667,0.400000,0.400000,0.428571,0.428571,0.600000,0.600000,0.000000,0.000000,1.000000
0.666667,0.666667,0.400000,0.400000,0.428571,0.428571,0.600000,0.600000,0.000000,0.000000,1.000000
0.666667,0.666667,0.400000,0.400000,0.428571,0.714286,0.600000,0.600000,0.000000,0.000000,1.000000
0.666667,0.666667,0.400000,0.400000,0.714286,0.714286,0.600000,0.600000,0.000000,0.000000,1.000000
0.666667,0.666667,0.400000,0.400000,0.714286,0.714286,0.600000,1.000000,0.000000,0.000000,0.000000
0.666667,1.000000,0.400000,0.600000,0.714286,0.714286,0.600000,1.000000,0.000000,0.000000,1.000000
1.000000,1.000000,0.600000,0.600000,0.714286,0.714286,1.000000,1.000000,0.000000,0.333333,1.000000
1.000000,1.000000,0.600000,0.600000,0.714286,0.857143,1.000000,1.000000,0.333333,0.333333,1.000000
1.000000,1.000000,0.600000,0.600000,0.857143,0.857143,1.000000,1.000000,0.333333,0.333333,1.000000
1.000000,1.000000,0.600000,0.600000,0.857143,0.142857,1.000000,1.000000,0.333333,0.333333,1.000000
1.000000,1.000000,0.600000,0.600000,0.857143,0.857143,1.000000,1.000000,0.333333,0.333333,1.000000
1.000000,1.000000,0.600000,0.600000,0.857143,0.857143,1.000000,1.000000,0.333333,0.333333,1.000000
1.000000,1.000000,0.600000,0.600000,0.857143,0.428571,1.000000,1.000000,0.333333,0.333333,1.000000
1.000000,1.000000,0.600000,0.600000,0.857143,0.857143,1.000000,1.000000,0.333333,0.333333,1.000000
1.000000,1.000000,0.600000,0.800000,0.857143,0.857143,1.000000,1.000000,0.333333,0.333333,1.000000
1.000000,1.000000,0.800000,0.800000,0.857143,0.857143,1.000000,1.000000,0.333333,0.333333,1.000000
1.000000,1.000000,0.800000,0.800000,0.857143,0.857143,1.000000,1.000000,0.333333,0.666667,1.000000
1.000000,1.000000,0.800000,0.800000,0.857143,0.571429,1.000000,1.000000,0.333333,0.333333,1.000000
1.000000,1.000000,0.800000,0.800000,0.857143,0.714286,1.000000,1.000000,0.333333,0.333333,1.000000
1.000000,1.000000,0.800000,0.800000,0.857143,1.000000,1.000000,1.000000,0.333333,0.333333,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.000000,0.000000,0.333333,0.000000
0.000000,0.333333,0.000000,0.200000,0.142857,0.428571,0.000000,0.000000,0.333333,0.333333,1.000000
0.333333,0.333333,0.200000,0.200000,0.428571,0.428571,0.000000,0.200000,0.333333,0.333333,1.000000
0.333333,0.333333,0.200000,0.400000,0.428571,0.142857,0.000000,0.200000,0.333333,0.333333,0.000000
0.333333,0.333333,0.200000,0.400000,0.428571,0.285714,0.000000,0.200000,0.333333,0.333333,1.000000
0.333333,0.333333,0.200000,0.400000,0.428571,0.571429,0.000000,0.000000,0.333333,0.333333,1.000000
0.333333,0.333333,0.200000,0.400000,0.428571,0.857143,0.000000,0.000000,0.333333,0.333333,1.000000
0.333333,0.333333,0.200000,0.600000,0.428571,1.000000,0.000000,0.000000,0.333333,0.333333,0.000000
0.333333,0.333333,0.600000,0.600000,1.000000,1.000000,0.000000,0.000000,0.333333,0.333333,1.000000
0.333333,0.333333,0.600000,0.600000,1.000000,1.000000,0.000000,0.000000,0.333333,0.333333,1.000000
0.333333,0.333333,0.600000,0.600000,1.000000,1.000000,0.000000,0.000000,0.333333,0.333333,1.000000
0.333333,0.333333,0.600000,0.800000,1.000000,1.000000,0.000000,0.200000,0.333333,0.333333,1.000000
0.333333,0.333333,0.800000,0.800000,1.000000,1.000000,0.200000,0.200000,0.333333,0.333333,1.000000
0.333333,0.666667,0.800000,0.800000,1.000000,1.000000,0.200000,0.400000,0.333333,0.333333,1.000000
0.666667,0.666667,0.800000,0.800000,1.000000,1.000000,0.400000,0.400000,0.333333,0.333333,1.000000
0.666667,0.666667,0.800000,0.800000,1.000000,1.000000,0.400000,0.400000,0.333333,0.333333,1.000000
0.666667,0.666667,0.800000,0.800000,1.000000,1.000000,0.400000,0.400000,0.333333,0.333333,1.000000
0.666667,0.666667,0.800000,0.800000,1.000000,1.000000,0.400000,0.400000,0.333333,0.333333,1.000000
0.666667,0.666667,0.800000,0.800000,1.000000,1.000000,0.400000,0.400000,0.333333,0.333333,1.000000
0.666667,0.666667,0.800000,0.800000,1.000000,1.000000,0.400000,0.400000,0.333333,0.333333,1.000000
0.666667,1.000000,0.800000,0.800000,1.000000,1.000000,0.400000,0.600000,0.333333,0.333333,1.000000
0.666667,0.666667,0.800000,1.000000,1.000000,1.000000,0.400000,0.600000,0.333333,0.333333,1.000000
0.666667,0.666667,1.000000,1.000000,1.000000,1.000000,0.600000,0.600000,0.333333,0.333333,1.000000
0.666667,0.666667,1.000000,1.000000,1.000000,1.000000,0.600000,0.600000,0.333333,0.666667,1.000000
0.666667,0.666667,1.000000,1.000000,1.000000,1.000000,0.600000,0.600000,0.666667,0.666667,1.000000
0.666667,0.666667,1.000000,1.000000,1.000000,1.000000,0.600000,0.600000,0.666667,0.666667,1.000000
0.666667,0.666667,1.000000,1.000000,1.000000,1.000000,0.600000,0.600000,0.666667,0.666667,1.000000
0.666667,0.666667,1.000000,1.000000,1.000000,1.000000,0.600000,0.600000,0.666667,0.666667,1.000000
0.666667,0.666667,1.000000,1.000000,1.000000,1.000000,0.600000,0.800000,0.666667,0.666667,1.000000
0.666667,0.666667,1.000000,1.000000,1.000000,1.000000,0.600000,0.600000,0.666667,0.666667,1.000000
0.666667,0.666667,1.000000,1.000000,1.000000,1.000000,0.600000,1.000000,0.666667,0.666667,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.400000,0.000000,0.333333,0.000000
0.333333,1.000000,0.000000,0.000000,0.428571,0.714286,0.800000,1.000000,0.666667,0.666667,1.000000
1.000000,1.000000,0.000000,0.000000,0.714286,0.714286,1.000000,1.000000,0.666667,0.666667,1.000000
1.000000,1.000000,0.000000,0.200000,0.714286,0.714286,1.000000,1.000000,0.666667,0.666667,1.000000
1.000000,1.000000,0.000000,0.200000,0.714286,0.857143,1.000000,1.000000,0.666667,0.666667,1.000000
1.000000,1.000000,0.200000,0.200000,0.857143,0.857143,1.000000,1.000000,0.666667,0.666667,1.000000
1.000000,1.000000,0.200000,0.400000,0.857143,0.857143,1.000000,1.000000,0.666667,0.666667,1.000000
1.000000,1.000000,0.400000,0.400000,0.857143,1.000000,1.000000,1.000000,0.666667,0.666667,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.200000,0.000000,0.142857,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.200000,0.200000,0.142857,0.142857,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.200000,0.200000,0.142857,0.142857,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.200000,0.200000,0.142857,0.428571,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.200000,0.600000,0.142857,0.428571,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.200000,0.800000,0.142857,0.428571,0.000000,0.000000,0.000000,0.333333,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.200000,0.000000,0.142857,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.200000,0.200000,0.142857,0.142857,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.200000,0.200000,0.142857,0.142857,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.333333,0.200000,0.200000,0.142857,0.285714,0.000000,0.000000,0.000000,0.000000,1.000000
0.333333,0.333333,0.200000,0.200000,0.285714,0.285714,0.000000,0.000000,0.000000,0.000000,1.000000
0.333333,0.333333,0.200000,0.200000,0.285714,0.285714,0.000000,0.200000,0.000000,0.333333,0.000000
0.333333,0.333333,0.200000,0.200000,0.285714,0.285714,0.200000,0.200000,0.333333,0.333333,1.000000
0.333333,0.333333,0.200000,0.200000,0.285714,0.285714,0.200000,0.200000,0.333333,0.333333,1.000000
0.333333,0.333333,0.200000,0.400000,0.285714,0.428571,0.200000,0.200000,0.333333,0.333333,1.000000
0.333333,0.666667,0.200000,0.400000,0.285714,0.571429,0.200000,0.200000,0.333333,0.333333,1.000000
0.333333,0.666667,0.200000,0.600000,0.285714,0.714286,0.200000,0.200000,0.333333,0.333333,1.000000
0.666667,0.666667,0.600000,0.600000,0.714286,0.571429,0.200000,0.200000,0.333333,0.333333,1.000000
0.666667,0.666667,0.600000,0.200000,0.714286,0.571429,0.200000,0.200000,0.333333,0.333333,1.000000
0.666667,0.666667,0.600000,0.800000,0.714286,0.857143,0.200000,0.200000,0.333333,0.333333,1.000000
0.666667,0.666667,0.800000,0.800000,0.857143,0.857143,0.200000,0.200000,0.333333,0.333333,1.000000
0.666667,0.666667,0.800000,0.800000,0.857143,0.857143,0.200000,0.600000,0.333333,0.333333,1.000000
0.666667,0.666667,0.800000,0.800000,0.857143,0.857143,0.200000,1.000000,0.333333,0.333333,1.000000
0.666667,0.666667,0.800000,0.400000,0.857143,0.857143,1.000000,1.000000,0.333333,0.333333,1.000000
0.666667,0.666667,0.800000,0.800000,0.857143,1.000000,1.000000,1.000000,0.333333,0.333333,1.000000
0.666667,0.666667,0.800000,0.800000,1.000000,1.000000,1.000000,1.000000,0.333333,0.333333,1.000000
0.666667,0.666667,0.800000,0.800000,1.000000,1.000000,1.000000,1.000000,0.333333,0.666667,0.000000
0.666667,1.000000,0.800000,0.800000,1.000000,1.000000,1.000000,1.000000,0.333333,0.333333,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.000000,0.000000,0.333333,0.000000
0.666667,0.666667,0.000000,0.600000,0.714286,1.000000,0.200000,0.400000,0.666667,0.666667,1.000000
0.666667,0.666667,0.600000,0.600000,1.000000,1.000000,0.400000,0.400000,0.666667,0.666667,1.000000
0.666667,0.666667,0.600000,0.600000,1.000000,1.000000,0.400000,0.600000,0.666667,0.666667,1.000000
0.666667,0.666667,0.600000,0.600000,1.000000,1.000000,0.600000,1.000000,0.666667,0.666667,0.000000
0.666667,0.666667,0.600000,0.600000,1.000000,1.000000,0.600000,0.600000,0.666667,0.666667,1.000000
0.666667,0.666667,0.600000,0.600000,1.000000,1.000000,0.600000,0.600000,0.666667,0.666667,1.000000
0.666667,0.666667,0.600000,0.800000,1.000000,1.000000,0.600000,0.600000,0.666667,0.666667,1.000000
0.666667,0.666667,0.800000,0.800000,1.000000,1.000000,0.600000,0.600000,0.666667,0.666667,1.000000
0.666667,0.666667,0.800000,0.800000,1.000000,1.000000,0.600000,0.600000,0.666667,0.666667,1.000000
0.666667,0.666667,0.800000,1.000000,1.000000,1.000000,0.600000,0.600000,0.666667,0.666667,1.000000
0.666667,0.666667,1.000000,1.000000,1.000000,1.000000,0.600000,0.600000,0.666667,0.666667,1.000000
0.666667,1.000000,1.000000,1.000000,1.000000,1.000000,0.600000,0.600000,0.666667,1.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.333333,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.333333,0.333333,0.200000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.333333,0.333333,0.200000,0.200000,0.000000,0.285714,0.000000,0.000000,0.000000,0.000000,1.000000
0.333333,0.333333,0.200000,0.200000,0.000000,0.428571,0.000000,0.200000,0.000000,0.000000,1.000000
0.333333,0.333333,0.200000,0.200000,0.000000,0.428571,0.000000,0.600000,0.000000,0.000000,1.000000
0.333333,0.333333,0.200000,0.400000,0.000000,0.571429,0.000000,0.600000,0.000000,0.000000,1.000000
0.333333,0.333333,0.200000,0.600000,0.000000,0.571429,0.000000,0.800000,0.000000,0.000000,1.000000
0.333333,0.333333,0.600000,0.600000,0.571429,0.571429,0.800000,0.800000,0.000000,0.000000,1.000000
0.333333,0.333333,0.600000,0.600000,0.571429,0.714286,0.800000,0.800000,0.000000,0.333333,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.285714,0.000000,0.000000,0.000000,0.000000,1.000000
0.000000,0.333333,0.000000,0.000000,0.000000,0.428571,0.000000,0.000000,0.000000,0.000000,1.000000
0.333333,0.333333,0.000000,0.000000,0.428571,0.428571,0.000000,0.000000,0.000000,0.000000,1.000000
0.333333,0.333333,0.000000,0.400000,0.428571,0.428571,0.000000,0.000000,0.000000,0.000000,1.000000
0.333333,0.333333,0.400000,0.400000,0.428571,0.428571,0.000000,0.000000,0.000000,0.000000,1.000000
0.333333,0.333333,0.400000,0.400000,0.428571,0.714286,0.000000,0.000000,0.000000,0.000000,1.000000
0.333333,0.333333,0.400000,0.400000,0.428571,0.857143,0.000000,0.000000,0.000000,0.333333,1.000000
0.333333,0.333333,0.400000,0.400000,0.428571,1.000000,0.000000,0.200000,0.000000,0.333333,1.000000
0.333333,0.333333,0.400000,0.400000,1.000000,1.000000,0.200000,0.200000,0.333333,0.333333,1.000000
0.333333,0.333333,0.400000,0.600000,1.000000,1.000000,0.200000,0.400000,0.333333,0.333333,1.000000
0.333333,0.333333,0.400000,0.800000,1.000000,1.000000,0.200000,0.400000,0.333333,0.333333,1.000000
0.333333,0.333333,0.400000,0.800000,1.000000,1.000000,0.200000,0.600000,0.333333,0.333333,1.000000
0.333333,0.333333,0.800000,0.800000,1.000000,1.000000,0.600000,0.400000,0.333333,0.333333,1.000000
0.333333,0.333333,0.800000,0.200000,1.000000,1.000000,0.600000,0.400000,0.333333,0.333333,0.000000
0.333333,0.333333,0.800000,0.800000,1.000000,1.000000,0.600000,0.600000,0.333333,0.333333,1.000000
0.333333,0.333333,0.800000,0.800000,1.000000,1.000000,0.600000,0.600000,0.333333,0.333333,1.000000
0.333333,0.333333,0.800000,0.800000,1.000000,1.000000,0.600000,0.600000,0.333333,0.333333,1.000000
0.333333,0.333333,0.800000,0.800000,1.000000,1.000000,0.600000,0.600000,0.333333,0.333333,1.000000
0.333333,0.333333,0.800000,0.800000,1.000000,1.000000,0.600000,0.600000,0.333333,0.333333,1.000000
0.333333,0.333333,0.800000,0.800000,1.000000,1.000000,0.600000,1.000000,0.333333,0.333333,0.000000
0.333333,0.666667,0.800000,0.800000,1.000000,1.000000,0.600000,0.600000,0.333333,0.333333,1.000000
0.333333,0.333333,0.800000,0.800000,1.000000,1.000000,0.600000,0.600000,0.333333,0.666667,0.000000
0.333333,0.333333,0.800000,0.800000,1.000000,1.000000,0.600000,0.600000,0.333333,0.333333,1.000000
0.333333,0.333333,0.800000,0.800000,1.000000,1.000000,0.600000,0.600000,0.333333,1.000000,0.000000
0.333333,0.333333,0.800000,0.800000,1.000000,1.000000,0.600000,0.600000,0.333333,0.333333,1.000000
0.333333,0.333333,0.800000,0.400000,1.000000,1.000000,0.600000,0.600000,0.333333,0.333333,0.000000
0.333333,0.333333,0.800000,0.800000,1.000000,1.000000,0.600000,0.600000,0.333333,0.333333,1.000000
0.333333,0.333333,0.800000,0.800000,1.000000,1.000000,0.600000,0.600000,0.333333,0.333333,1.000000
0.333333,0.333333,0.800000,0.800000,1.000000,1.000000,0.600000,0.600000,0.333333,0.333333,1.000000
0.333333,0.333333,0.800000,0.800000,1.000000,1.000000,0.600000,0.600000,0.333333,0.333333,1.000000
